Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
247,CSUN ,Big West ,30,3,27,538,493,-1.5,2023-2024
248,Merrimack ,NEC ,31,12,19,556,509,-1.52,2023-2024
249,Cincinnati ,Big 12 ,32,14,18,520,470,-1.56,2023-2024
250,Tulsa ,AAC ,35,25,10,553,498,-1.57,2023-2024
251,Butler ,Big East ,32,15,17,465,414,-1.59,2023-2024
252,Duquesne ,Atlantic 10 ,34,21,13,513,458,-1.62,2023-2024
253,Illinois St. ,MVC ,34,22,12,496,440,-1.65,2023-2024
254,USC Upstate ,Big South ,32,16,16,606,552,-1.69,2023-2024
255,Indiana St. ,MVC ,32,11,21,569,514,-1.72,2023-2024
256,UMass Lowell ,America East ,29,4,25,471,421,-1.72,2023-2024
257,UC Davis ,Big West ,34,20,14,557,498,-1.74,2023-2024
258,South Dakota St. ,Summit League ,33,27,6,485,427,-1.76,2023-2024
259,San Diego ,WCC ,31,9,22,530,475,-1.77,2023-2024
260,Hofstra ,CAA ,32,11,21,594,536,-1.81,2023-2024
261,Austin Peay ,ASUN ,33,17,16,562,502,-1.82,2023-2024
261,Wyoming ,Mountain West ,33,18,15,438,378,-1.82,2023-2024
263,Youngstown St. ,Horizon ,32,14,18,530,471,-1.84,2023-2024
264,Bryant ,America East ,30,15,15,480,422,-1.93,2023-2024
265,Clemson ,ACC ,31,12,19,525,464,-1.97,2023-2024
266,FDU ,NEC ,31,14,17,475,413,-2,2023-2024
266,North Ala. ,ASUN ,30,12,18,535,475,-2,2023-2024
268,Milwaukee ,Horizon ,32,16,16,533,467,-2.06,2023-2024
